Url,Company,Description
https://www.rocketpunch.com//companies/yjsv#funded,와이제이에스브이,"대한민국 최초의 구독형 점심식사 픽업서비스 오퍼밀입니다. Save Time Save Money,  웨이팅 시간과 식비를 아껴줍니다."
https://www.rocketpunch.com//companies/smartjack#funded,스마트잭,"위대한 연구의 시작, LAB MANAGER"
https://www.rocketpunch.com//companies/illio#funded,ILLIO,
https://www.rocketpunch.com//companies/poinblack#funded,포인블랙,교육으로 세상을 바꾸다.
https://www.rocketpunch.com//companies/jupitaka#funded,주피타카 주식회사,소상공인을 위한 핀테크 전문기업
https://www.rocketpunch.com//companies/reviewshare#funded,리뷰쉐어,"세상의 모든 리뷰, 리뷰쉐어"
https://www.rocketpunch.com//companies/peopet#funded,페오펫,대한민국 No.1 반려동물등록 모바일 서비스
https://www.rocketpunch.com//companies/babeltop#funded,(주)바벨탑,바벨탑의 꿈은 글로벌 전문 언어서비스 분야에서 사람과 인공지능이 상생하는 미래를 만드는 것입니다.
https://www.rocketpunch.com//companies/heybit#funded,헤이비트,비트코인 로보 어드바이저
https://www.rocketpunch.com//companies/atiseuceukadeu#funded,아티스츠카드,"'클래식매니저'를 개발/운영하면서, 글로벌 클래식 음악시장 점령을 목표하고 있습니다."
https://www.rocketpunch.com//companies/gangmom#funded,강남엄마,"학원 찾을 땐, 강남엄마"
https://www.rocketpunch.com//companies/rupeul#funded,루플,㈜루플은 삼성전자 C-Lab 스핀오프 기업으로 인공지능 라이트 케어 전문 스타트업입니다.
https://www.rocketpunch.com//companies/onvit#funded,온빛,병원 모바일 플랫폼 서비스
https://www.rocketpunch.com//companies/safeway-1#funded,세이프웨이,웨어러블 로봇으로 힘쓰는 사람이 없는 세상을 만들고 싶은 바른 스타트업 입니다.
https://www.rocketpunch.com//companies/balky#funded,BALKY,한의학 스타트업
https://www.rocketpunch.com//companies/gomicorporation#funded,고미코퍼레이션,"""해외진출""을 꿈꾸는 제품을 도와 수출입 허가부터 온라인 마케팅, 판매까지 책임지는 ""원스탑 플랫폼""입니다."
https://www.rocketpunch.com//companies/trive#funded,더트라이브,대한민국 최초의 중고차 구독 서비스
https://www.rocketpunch.com//companies/widaehansangsa#funded,위대한상사,"쉐어스토어플랫폼 ""나누다키친"""
https://www.rocketpunch.com//companies/ysselection#funded,와이즈셀렉션,"웹을 통한 '진단'과 '추천'이란 개념으로, 건강기능식품 시장의 패러다임을 바꾸는 기업입니다."
https://www.rocketpunch.com//companies/bowerbird#funded,바우어버드,생활앱 개발 및 공급
https://www.rocketpunch.com//companies/fillgi#funded,필기,멀티플랫폼 노트 어플리케이션 개발사
https://www.rocketpunch.com//companies/vipho#funded,비포,증강현실 서비스 제작
https://www.rocketpunch.com//companies/peoplus-1#funded,에그,"""돈 쓰는건 쉬워야한다."" 라는 모토 하에 핀테크 플랫폼 개발을 합니다."
https://www.rocketpunch.com//companies/daangn#funded,당근마켓,"800만 다운로드, MAU 300만, 국내 이커머스 중 평균 체류시간/방문횟수 1위! 지역 기반 서비스 당근마켓을 만들고 있어요."
https://www.rocketpunch.com//companies/crowdworks#funded,크라우드웍스,Online Crowdsoucing Platform for AI / AI 학습데이터 NO.1 플랫폼
https://www.rocketpunch.com//companies/spoit#funded,스포잇,"모두가 스포츠를 더 즐겁게 만날 수 있게 합니다. 스포츠 매칭 플랫폼, 스마트 경기장, 스포츠 마케팅, 스포츠산업 강연"
https://www.rocketpunch.com//companies/wadiz#funded,와디즈,#와디즈 #Wadiz #핀테크서비스 #금융 #IT #판교 #테크노밸리
https://www.rocketpunch.com//companies/canopus#funded,카노푸스,뷰티 SNS PLATFORM
https://www.rocketpunch.com//companies/storecamera#funded,스토어카메라,"이커머스 셀러를 위한 모바일 솔루션, 스토어카메라 개발 및 운영"
https://www.rocketpunch.com//companies/rieolweibeu#funded,리얼웨이브,
https://www.rocketpunch.com//companies/claire#funded,클레어,상쾌한 공기를 마시며 시작하는 기분좋은 하루를 디자인합니다.
https://www.rocketpunch.com//companies/algorima#funded,알고리마,"""모두를 위한 AI"" 학습/개발 도구를 만듭니다. ""Make AI work for the rest of us"""
https://www.rocketpunch.com//companies/bananaai#funded,바나나에이아이,NSFW(Not Suitable For Work)콘텐츠 검열 AI 프로그램 제공 기업
https://www.rocketpunch.com//companies/shiftee#funded,(주)시프티,"통합 근태관리 솔루션, 시프티"
https://www.rocketpunch.com//companies/openull-1#funded,오프널,밀레니얼들의 삶을 바꾸는 핀테크 서비스 '소비의 미학'을 운영하는 회사입니다.
https://www.rocketpunch.com//companies/aircap#funded,에어캡,MOBILE GAME COMPANY
https://www.rocketpunch.com//companies/crossangle#funded,크로스앵글,글로벌 블록체인 정보분석 및 공시 플랫폼
https://www.rocketpunch.com//companies/diparvis#funded,(주)디앤아이파비스,Task-Assisting AI
https://www.rocketpunch.com//companies/tabaisopeuteu-ju#funded,탑아이소프트(주),AI기반 전문가 온라인플랫폼
https://www.rocketpunch.com//companies/philophos#funded,필로포스,광학 시스템 및 진단기기 제조 스타트업
https://www.rocketpunch.com//companies/travelymap#funded,트래블리맵,지도기반으로 편리하게 여행 일정을 플래닝할 수 있는 App '트래블리맵'을 서비스하는 회사.
https://www.rocketpunch.com//companies/astera#funded,아스테라,"사용할 수록 사용자에게 더 나은 가치를 선사하는 음식 테이크아웃 서비스 ""잇플""을 개발하는 대한민국 최고의 푸드테크 스타트업."
https://www.rocketpunch.com//companies/colley#funded,콜리,엔터테인먼트 굿즈 정보 공유 서비스
https://www.rocketpunch.com//companies/nine2one#funded,나인투원,기술 혁신을 보다 많은 사람들의 일상 속 혁신으로
https://www.rocketpunch.com//companies/teuida#funded,TEUIDA,"""외국인들의 한국어가 트이다!"""
https://www.rocketpunch.com//companies/beulraegseuton#funded,블랙스톤,
https://www.rocketpunch.com//companies/datable#funded,데이터블,디지털 마케팅을 혁신합니다. 데이터블
https://www.rocketpunch.com//companies/sharetreats#funded,쉐어트리츠,동남아향 카카오 선물하기 : O2O 캐주얼 커머스
https://www.rocketpunch.com//companies/peteasycoltd#funded,펫이지,"국내유일, 1등 애견 뷰티 플랫폼서비스 Go펫을 제공하는 펫이지입니다. 반려인들에겐 역시 펫이지~. 반려생활을 쉽고 편리하게 PetEasy가 함께 합니다."
https://www.rocketpunch.com//companies/riteulsongmyujig#funded,(주)리틀송뮤직,크리에이터와 영상제작자를 위한 순수창작 배경음악 라이브러리 BGM팩토리
https://www.rocketpunch.com//companies/aigogo#funded,아이고고,"아이고고는 유아동 교육 전문가 분들의 다양한 클래스를 가정에서, 우리동네의 스튜디오에서 만날 수 있게 하는 서비스 입니다. 아이고고의 성장로켓에 탑승하실 많은 분들을 기다리고 있습니다 :)"
https://www.rocketpunch.com//companies/videomonster#funded,비디오몬스터,온라인 영상 제작 솔루션과  영상 디자인 유통 플랫폼 서비스인 비디오몬스터입니다
https://www.rocketpunch.com//companies/taling#funded,탈잉,재능공유 모바일 플랫폼
https://www.rocketpunch.com//companies/alresio#funded,알레시오,인공지능으로 태어날 아기 얼굴을 예측하는 베이비페이스를 서비스합니다 혁신적인 서비스를 함께 개발할 멤버를 모십니다
https://www.rocketpunch.com//companies/juice-2#funded,주스,음악 분야 IT 스타트업
https://www.rocketpunch.com//companies/finestudy#funded,파인스터디,수강생와 기업간 교육 콘텐츠의 올바른 정보 공유 플랫폼
https://www.rocketpunch.com//companies/kaistventureinvestmentholdings#funded,카이스트청년창업투자지주,
https://www.rocketpunch.com//companies/medihere#funded,메디히어,"""IT기술을 활용하여 의료정보 불균형을 해소하고 의료산업을 혁신시키자”라는 당찬 포부와 함께, 환자의 질환에 적합한 의사추천과 신속한 진료예약 서비스를 제공하여  의사와 환자간 의료정보 불균형을 해소하고 환자의 빠른 회복을 돕고 있습니다. 대표 서비스로는 ""닥터히어 DoctorHere - 분야별 실력있는 의사추천 플랫폼""이 있습니다.(www.doctorhere.kr)"
https://www.rocketpunch.com//companies/bluenight#funded,주식회사 푸른밤,"인사 급여 자동화를 통한, 핀테크 서비스"
https://www.rocketpunch.com//companies/dalicious#funded,달리셔스,온디멘드(On-Demand) 푸드 플랫폼
https://www.rocketpunch.com//companies/zzieut#funded,찌읏,내가 찜하고 싶은 그것!
